raw_street,raw_area
17 Minden Hill Lane,"Te Puna, Tauranga, Bay of Plenty"
D'Archiac Drive,"Lake Tekapo, Canterbury"
Kingston Highway,"Queenstown, Otago"
19 Peters Street,"Hinds, Ashburton, Canterbury"
Manuka Drive,"Ngakuta Bay, Queen Charlotte Sounds, Nelson/Marlborough"
11 Paora Street,"Orakei, Auckland, Auckland City"
48 & 54 Aerodrome Road,"Mt Maunganui, Tauranga, Bay of Plenty"
8 Oaklands Road,"Mt Eden, Auckland, Auckland City"
8 James Elliot Way,"Pokeno, Waikato"
56 Te Kawa Street,"Otorohanga, Waikato"
20 Kikorangi Drive,"Wainui, Auckland North Shore"
648 Makara Road,"Makara, Wellington, Wellington"
63 Boundary Road,"Papakura, Auckland, Auckland South"
297 Horsham Downs Road,"Rototuna North, Hamilton, Waikato"
3 Gibboney Place,"Pokeno, Waikato"
9 Hogan Street,"Pukekohe, Auckland South"
108 Tomes Road,"St Albans, Christchurch, Canterbury"
22 Nightingale Road,"Flat Bush, Auckland, Auckland South"
38 Marion Avenue,"Mt Roskill, Auckland, Auckland South"
24 London Street,"Lyttelton, Canterbury"
15 Newbrook Terrace,"Darfield, Canterbury"
20 Pomaria Road,"Henderson, Auckland, Auckland West"
10 Vic Butler Street,"Mt Roskill, Auckland, Auckland City"
177A Queen Street West,"Levin, Manawatu/Whanganui"
6 Arion Court,"Mt Pisa, Cromwell, Otago"
6 & 7 Sollum Road,"Panmure, Auckland, Auckland South"
9 Komaru Street,"Remuera, Auckland, Auckland City"
23 Glenturret Drive,"Casebrook, Christchurch, Canterbury"
6 Entrican Avenue,"Remuera, Auckland, Auckland City"
34 Cooney Avenue,"Darfield, Canterbury"
21 Blue Dun Place,"Brentwood, Taupo, Waikato"
31 Tamihana Avenue,"Pyes Pa, Tauranga, Bay of Plenty"
15 Offenhauser Drive,"East Tamaki, Auckland, Auckland South"
5 Helen Place,"Halswell, Christchurch, Canterbury"
777 East Maddisons Road,"Rolleston, Canterbury"
38A Thorrington Road,"Cashmere, Christchurch, Canterbury"
138 Verdeco Boulevard,"Lincoln, Canterbury"
50 Williamson Avenue,"Grey Lynn, Auckland, Auckland City"
25 Seymour Avenue,"Papatoetoe, Auckland, Auckland South"
4 Belmont Lane,"Lincoln, Canterbury"
140 Cook Drive,"Whitianga, Waikato"
55 Sunnyvale Road,"Massey, Auckland, Auckland South"
140 Dunns Crossing Road,"Rolleston, Canterbury"
14 Raby Lane,"Pyes Pa, Tauranga, Bay of Plenty"
142B Forestry Road,"Ashley, Rangiora, Canterbury"
23 Foxbridge Lane,"Lincoln, Canterbury"
125 Rangituia Street,"Whangamata, Waikato"
19 Bowen Street,"Kawerau, Bay of Plenty"
500 Landsborough Road,"Claremont, Timaru, Canterbury"
108 Rutherglen Road,"Rutherglen, Greymouth, West Coast"
191A Clyde Road,"Burnside, Christchurch, Canterbury"
8 Captain Stone Road,"Te Kowhai, Hamilton, Waikato"
18 Harbour View Road,"Omokoroa, Bay of Plenty"
36A Picton Street,"Freemans Bay, Auckland, Auckland City"
84 Kawari Drive,"Pegasus, Canterbury"
8 Flock Street,"Rolleston, Canterbury"
35 Wiltons Road,"West Taratahi, Carterton, Wairarapa"
74 Rangitahi Road,"Raglan, Waikato"
16 Victoria Road South,"Onetangi, Waiheke Island, Auckland City"
1 Weka Street,"Springfield, Rotorua, Bay of Plenty"
96 Smarts Road,"Loburn, Canterbury"
160 Milton Street,"Spreydon, Christchurch, Canterbury"
Trig Road,"Waihi, Waikato"
114 Scandrett Road,"Mahurangi East, Warkworth, Auckland, Auckland North Shore"
5 Craigellachie Lane,"Kenmure, Dunedin, Otago"
18 Sandhurst Drive,"Rolleston, Canterbury"
4 Butt Street,"Brooklyn, Wellington, Wellington"
21-23 Westpoint Drive,"Hobsonville, Auckland, Auckland West"
5 Onetangi Road,"Onetangi, Waiheke Island, Auckland City"
67 Bell Road,"Waiwhetu, Lower Hutt, Wellington"
1 Hunua Road,"Papakura, Auckland, Auckland South"
19 Sylvester Crescent,"Flagstaff, Hamilton, Waikato"
19 Strathavon Road,"Miramar, Wellington, Wellington"
142 Travers Road,"Te Kauwhata, Waikato"
81 Mountain Road,"Mangere Bridge, Auckland, Auckland South"
56 Avalon Street,"Richmond, Christchurch, Canterbury"
11 Intrepid Crescent,"Beachlands, Auckland, Auckland South"
20 Lammermoor Street,"Wanaka, Otago"
Akela Street & Aikmans Road,"Merivale, Christchurch, Canterbury"
38 Wingfield Road,"Pokeno, Waikato"
40 Sycamore Grove,"Lower Vogeltown, New Plymouth, Taranaki"
2 Muscat Place,"Te Kauwhata, Waikato"
6 Sudbury Way,"Rolleston, Canterbury"
Journeys End,"Tapora, Kaipara, Auckland North Shore"
21 Kelso Place,"Matamata, Waikato"
2/445 Inglefield Street,"Pirongia, Waikato"
71 Maketu Road,"Drury, Auckland South"
37 Ava Street,"Petone, Lower Hutt, Wellington"
Eskridge Drive,"Eskdale, Napier, Hawkes Bay/Gisborne"
5 Hurunui Drive,"Te Awa, Napier, Hawkes Bay/Gisborne"
30 Cox Street,"Merivale, Christchurch, Canterbury"
19 Arthur Street,"Whitianga, Waikato"
16 Nikau Street,"Mt Eden, Auckland, Auckland City"
Vinegar Lane,"Grey Lynn, Auckland, Auckland City"
303 Williamson Road,"Whangamata, Waikato"
30 Parkes Road,"Tuamarina, Blenheim, Nelson/Marlborough"
15 Ruba Way,"Ohauiti, Tauranga, Bay of Plenty"
"7, 9, 11, 13, 15 Bedfont Street","Richmond, Nelson, Nelson/Marlborough"
22 Hokioi Drive,"Kenepuru, Porirua, Wellington"
52 Mettam Drive,"Swanson, Auckland, Auckland West"
2408 Kaiuma Bay Road,"Kaiuma Bay, Havelock, Nelson/Marlborough"
11 Finn Avenue,"Rolleston, Canterbury"
9-11 Rowcliffe Street & 3-17 Holland Street,"Avonside, Christchurch, Canterbury"
24 Coach Way,"Rolleston, Canterbury"
245 New Windsor Road,"New Windsor, Auckland, Auckland City"
Brecon Road,"Stratford, Waikato"
6 Akapuka Place,"Ngaruawahia, Waikato"
27 Bremner Avenue,"Mount Roskill, Auckland, Auckland City"
183 Courtenay Street,"New Plymouth, Taranaki"
54 Yeovil Road,"Te Atatu Peninsula, Auckland, Auckland West"
18 Horsefields Drive,"Flat Bush, Auckland, Auckland South"
25 Ellacott Lane,"Lake Hawea, Otago"
22 Lindum Terrace,"Roseneath, Wellington, Wellington"
187 Blakes Road,"Prebbleton, Canterbury"
482 Hillside Road,"Caversham, Dunedin, Otago"
"576 Fred Taylor Drive, Dunlop Road & Don Buck Road","Massey/Westgate, Auckland, Auckland West"
1970 SH 2,"Te Hauke, Otane, Hawkes Bay/Gisborne"
55B Nursery Road,"Queensberry, Cromwell, Otago"
9A Cobblers Lane,"Riverhead, Auckland North Shore"
1 Te Hurunui Drive,"Pegasus, Canterbury"
10 Waymau Lane,"Coatesville, Auckland North Shore"
5 Seagreen Avenue,"Rosehill, Papakura, Auckland South"
99 Tamure Place,"Ruakaka, Whangarei, Northland"
65A The Esplanade,"Westshore, Napier, Hawkes Bay/Gisborne"
63 Opoka Street,"Papakura, Auckland, Auckland South"
9 Huntly Road,"Campbells Bay, Auckland, Auckland North Shore"
11 Lammermoor Street,"Wanaka, Otago"
15 Hills Road,"Tongaporutu, Urenui, Taranaki"
99 Kawatiri Road,"Makauri, Gisborne, Hawkes Bay/Gisborne"
5 Riverside Way,"Amberley, Canterbury"
40 Piata Street,"Papamoa Beach, Papamoa, Bay of Plenty"
29 Caspar Road,"Papatoetoe, Auckland, Auckland South"
9 Grand Oaks Drive,"Awapuni, Palmerston North, Manawatu/Whanganui"
Pigeon Valley Road,"Wakefield, Nelson/Marlborough"
307 Hooker Road,"Tamahere, Hamilton, Waikato"
102 Cook Street,"West End, Palmerston North, Manawatu/Whanganui"
63 Maka Terrace,"Silverdale, Auckland North Shore"
6 Barbary Street,"Rolleston, Canterbury"
Cambell Street & Oliphant Road,"Raureka, Hastings, Hawkes Bay/Gisborne"
Williams Road,"Waihi, Bay of Plenty"
68 Rintoul Street,"Westport, West Coast"
7 Skibbereen Drive,"Halswell, Christchurch, Canterbury"
237 South Highway East,"Whitianga, Waikato"
6 Swiftsure Street,"Collingwood, Nelson/Marlborough"
40 Truebridge Drive,"Waitarere, Levin, Manawatu/Whanganui"
15 Talon Drive,"Rolleston, Canterbury"
4 Settlers View,"Waipu, Northland"
7 Reserve Lane,"Wanaka, Otago"
68 Quinn Crescent,"Woodend, Canterbury"
5 Matariki Street,"Omaha, Auckland North Shore"
2 Marsden Place,"Hurworth, New Plymouth, Taranaki"
5 Fernbird Grove,"Kerikeri, Northland"
26 Reuben Avenue,"Rolleston, Canterbury"
2 Grandview Road,"Lake Hawea, Otago"
333 Houchen Road,"Raglan, Waikato"
15 Pacific Heights Road,"Orewa, Auckland North Shore"
61 Discovery Drive,"Gulf Harbour, Whangaparaoa, Auckland North Shore"
107B Sturges Road,"Henderson, Auckland, Auckland West"
231 Mapara Road,"Acacia Bay, Taupo, Waikato"
420 Panama Road,"Mt Wellington, Auckland, Auckland City"
2031 Old Te Aroha Road,"Gordon, Manawaru, Waikato"
162 Kupe Drive,"Whitianga, Waikato"
Tutukaka Block Road,"Tutukaka, Northland"
Matapiro Road,"Hastings, Hawkes Bay/Gisborne"
191 Alabama Road,"Redwoodtown, Blenheim, Nelson/Marlborough"
27 Kennedy Crescent,"Wanaka, Otago"
61 Heathfield Drive,"Mosgiel, Otago"
177 Princes Street West,"Pukekohe, Auckland, Auckland South"
6 Arapatiki Street,"Raglan, Waikato"
304 Wakefield-Kohatu Highway,"Wai-iti, Wakefield, Nelson/Marlborough"
4 Carnell Lane,"Pinehill, Auckland, Auckland North Shore"
10 Beak Street,"Rolleston, Canterbury"
66 Somerton Drive,"Huntington, Hamilton, Waikato"
16 Huxley Road,"Maxwell, Manawatu/Whanganui"
167 Main Highway,"Ellerslie, Auckland, Auckland City"
6 Reeves Road,"Pakuranga, Auckland, Auckland South"
524-526 Don Buck Road,"Massey, Auckland, Auckland West"
2402 Gibbston Highway,"Gibbston, near Queenstown, Otago"
6 Tobollie Drive,"Rolleston, Canterbury"
9 Anglesea Street,"Arrowtown, Otago"
32 Titoki Street,"Te Atatu Peninsula, Auckland, Auckland West"
69 Athenree Road,"Athenree, Waihi Beach, Waikato"
111 Russell Road,"Manurewa, Auckland, Auckland South"
6 Glen Dene Crescent,"Wanaka, Otago"
5 Craigie Way,"Wainuiomata, Lower Hutt, Wellington"
4 Bertrand Road,"Mt Wellington, Auckland, Auckland City"
17 Nobilo Road,"Kumeu, Auckland West"
SH 3,"Ashhurst, Palmerston North, Manawatu/Whanganui"
7 Boyce Crescent,"Cambridge, Waikato"
191 Jack Lachlan Drive & Lot 5 Ninth View Avenue,"Beachlands, Auckland, Auckland South"
92 Glenturret Drive,"Casebrook, Christchurch, Canterbury"
4A Kakano Road & 2 Topere Way,"Westgate, Auckland, Auckland West"
30 Thorps Quarry Road,"Clevedon, Auckland, Auckland South"
208 Holland Road,"Puketaha, Hamilton, Waikato"
113 Pharazyn Street,"Feilding, Manawatu/Whanganui"
25 Mural Drive,"Katikati, Bay of Plenty"
7 Blairlogie Close,"Otatara, Invercargill, Southland"
52 Schooner Drive,"Whitby, Porirua, Wellington"
15 Liddel Grove,"Island Bay, Wellington, Wellington"
60 JG Wilson Drive,"Waipukurau, Hawkes Bay/Gisborne"
43 Acheron Road,"Paremata, Porirua, Wellington"
17 Larissa Road,"Halswell, Christchurch, Canterbury"
43 Ridge Road,"Howick, Auckland, Auckland South"
5 Pinto Road,"Pukekohe, Auckland, Auckland South"
335 Main Road,"Huapai, Auckland, Auckland North Shore"
16C Kaitawa Road,"Pahiatua, Manawatu/Whanganui"
41 Westgate Drive,"Massey, Auckland, Auckland West"
44-70 Kimberley Road,"Levin, Manawatu/Whanganui"
2037A River Road,"Horsham Downs, Hamilton, Waikato"
26 Ellora Street,"Ngaio, Wellington, Wellington"
"9, 11, 15, 17, 19, 20 & 21 Earlywood Road","Takanini, Auckland, Auckland South"
45 Fontana Street,"Papamoa, Bay of Plenty"
398 Waring Road,"Taupiri, Waikato"
30 Brittan Terrace,"Lyttelton, Canterbury"
168 Whitney Street,"Blockhouse Bay, Auckland, Auckland City"
115 Neville Street,"Spreydon, Christchurch, Canterbury"
"Lot 389, George Drive","Shotover Country, Queenstown, Otago"
94 Hutchinsons Road,"Bucklands Beach, Auckland, Auckland South"
51 Edward Avenue,"Edgeware, Christchurch, Canterbury"
56 Eccles Avenue,"Te Kauwhata, Waikato"
3287 SH 26,"Morrinsville, Waikato"
279 Stranges Road,"Lake Hood, Ashburton, Canterbury"
35 Hikuawa Road,"Flat Bush, Auckland, Auckland South"
8 Bathurst Crescent,"Pokeno, Waikato"
19 Slako Crescent,"Ruakaka, Whangarei, Northland"
334 Matahi Road,"Rotoma, Whakatane, Bay of Plenty"
14 Carex Rise,"Cracroft, Christchurch, Canterbury"
90 Benashet Drive,"Lincoln, Canterbury"
11 Aranui Road,"Mapua, Nelson/Marlborough"
132 Ahutoetoe Road,"Wainui, Auckland North Shore"
45 Rathmullen Place,"Pinehill, Auckland, Auckland North Shore"
67 Worcester Street,"Ashhurst, Canterbury,Manawatu/Whanganui"
34 Wigmore Crescent,"Rolleston, Canterbury"
1 Red Cottage Drive,"Lake Hayes, Queenstown, Otago"
385 Greenhill Road,"Puketaha, Hamilton, Waikato"
11 Medway Street,"Richmond, Christchurch, Canterbury"
9 Somerset Street,"Brooklands, New Plymouth, Taranaki"
2/118 Champion Street,"St Albans, Christchurch, Canterbury"
2 Nash Road,"Aidanfield, Christchurch, Canterbury"
20 Elmdon Street,"Mangere, Auckland, Auckland South"
6 Barley Road,"Flat Bush, Auckland, Auckland South"
Pakiri Road,"Pakiri, Auckland, Auckland North Shore"
50 Cascades Road,"Pakuranga Heights, Auckland, Auckland South"
36 Tomo Street,"New Lynn, Auckland, Auckland West"
60 Rashni Road,"Flat Bush, Auckland, Auckland South"
16 James Street,"Mangere East, Auckland, Auckland South"
77 Karewa Parade,"Papamoa Beach, Tauranga, Bay of Plenty"
5 Homestead Drive,"Rangiora, Canterbury"
7 Maika Lane,"Birkenhead, Auckland, Auckland North Shore"
45 Corriedale Road,"Jacks Point, Queenstown, Otago"
894 Great South Road,"Penrose, Auckland, Auckland City"
510 Hart Place,"Frimley, Hastings, Hawkes Bay/Gisborne"
3 Robertson Street,"Elderslea, Upper Hutt, Wellington"
8 Eames Crescent,"Te Mata, Thames, Waikato"
59 Dejoux Road,"Winton, Southland"
9 Hay Street,"Naenae, Lower Hutt, Wellington"
122 Waiou Road,"Hatuma, Hawkes Bay/Gisborne"
31 Argyle Street,"Herne Bay, Auckland, Auckland City"
38 Rochfort Street,"Otane, Hawkes Bay/Gisborne"
955 Maniatutu Road,"Pongakawa, Bay of Plenty"
5 Halyard Place,"Te Atatu Peninsula, Auckland, Auckland West"
97 Fosbender Road,"New River Ferry, Invercargill, Southland"
93-111 Ranolf Street,"Rotorua, Bay of Plenty"
488 Pesters Road,"West Eyreton, Canterbury"
7 Kikorangi Way,"Paraparaumu, Wellington"
47 Freeland Avenue,"Mt Roskill, Auckland, Auckland City"
67 Sutherland Drive,"Kaiapoi, Canterbury"
78 Dover Street,"St Albans, Christchurch, Canterbury"
31 Rothwell Drive,"Rolleston, Canterbury"
17 Eugenia Rise,"Totara Heights, Auckland, Auckland South"
55 Rangitahi Road,"Raglan, Waikato"
85 Union Place,"North Dunedin, Dunedin, Otago"
21 Billington Drive,"Halswell, Christchurch, Canterbury"
18 Dunblane Street,"Maori Hill, Dunedin, Otago"
79 Argent Lane,"Wainui, Auckland North Shore"
25 Kewini Grove,"Matakana, Auckland North Shore"
38 Brookvale Road,"Havelock North, Hawkes Bay/Gisborne"
40 Kerr Crescent,"Patumahoe, Pukekohe, Auckland South"
65A White Swan Road,"Mt Roskill, Auckland, Auckland City"
271 Whitford-Maraetai Road,"Whitford, Auckland South"
254A Pekanui Road,"Puketotara, Waikato"
261 Giles Road,"Kaiapoi, Canterbury"
108 Bateup Road,"Richmond, Nelson/Marlborough"
36 Styx River Place,"Spencerville, Christchurch, Canterbury"
43 Ayr Street,"Mosgiel, Otago"
Whanganui River Road,"Jerusalem, Whanganui, Manawatu/Whanganui"
19 Bell Street,"Otane, Hawkes Bay/Gisborne"
58 Harrison Street,"Allenton, Ashburton, Canterbury"
14 Brent Place,"Manurewa, Auckland, Auckland South"
129 Lancaster Road,"Beach Haven, Auckland, Auckland North Shore"
3 Austin Terrace,"Mt Victoria, Wellington, Wellington"
5 Lewis Close,"Rangiora, Canterbury"
2 Harry Richards Way,"Pokeno, Waikato"
250 Hingaia Road,"Karaka, Auckland, Auckland South"
18 Lusk Street,"Rangiora, Canterbury"
90 Manse Road,"Leeston, Canterbury"
21 Vintage Street,"Cromwell, Otago"
18 Mariners Grove,"Algies Bay, Warkworth, Auckland North Shore"
101 McRobbie Road,"Kingseat, Auckland, Auckland South"
3 Clark Rise,"Pokeno, Waikato"
1232 SH 1,"Wayby Valley, Wellsford, Auckland North Shore"
55 Linwood Avenue,"Linwood, Christchurch, Canterbury"
32D Isobel Road,"Greenhithe, Auckland, Auckland North Shore"
55-57 Schnapper Rock Road & Kyle Road,"Auckland, Auckland North Shore"
28 Achilles Avenue,"Waitarere Beach, Levin, Manawatu/Whanganui"
22 Pioneer Crescent,"Omokoroa, Bay of Plenty"
179-186 Williams Street,"Kaiapoi, Canterbury"
3 Barclay Place,"Wanaka, Otago"
1 Pukenui Road,"Ohakea, Manawatu/Whanganui"
10 Aratika Grove,"Stokes Valley, Lower Hutt, Wellington"
51 Ferndale Road,"Mt Wellington, Auckland, Auckland City"
Salford Place,"Palmerston North, Manawatu/Whanganui"
22 Eastview Road,"Glen Innes, Auckland, Auckland City"
1448 Hoskyns Road,"Kirwee, Canterbury"
447A Goble Road,"Komata, Paeroa, Waikato"
2 Fothers Lane,"Katikati, Bay of Plenty"
1/9 Melling Street,"Geln Innes, Auckland, Auckland South"
24 Southbrook Close,"Glenview, Hamilton, Waikato"
8 Bragato Way,"Te Kauwhata, Waikato"
10-12 Severn Street,"Oamaru, Otago"
256 Malling Road,"Redwood Valley, Richmond, Nelson/Marlborough"
435 Taioma Road,"North Taieri, Mosgiel, Otago"
153 South Highway West,"Whitianga, Waikato"
88 Lake Road,"Northcote, Auckland, Auckland North Shore"
37 Wainui Avenue,"Kamo, Whangarei, Northland"
26 Barrier View Road,"Leigh, Auckland North Shore"
38 Bill Hammond Drive,"Belfast, Christchurch, Canterbury"
25 Te Mata Mangateretere Road,"Havelock North, Hawkes Bay/Gisborne"
"23, 25 & 27 Halver Road","Hill Park, Manurewa, Auckland, Auckland South"
105 Oraha Road/59 Burns Lane,"Huapai, Auckland, Auckland North Shore"
41A Leathem Crescent,"Pokeno, Waikato"
27 Te Paea Crescent,"Papamoa Beach, Papamoa, Bay of Plenty"
60 Lambies Street,"Marshland, Christchurch, Canterbury"
23 Taylors Mistake Road,"Scarborough, Christchurch, Canterbury"
8 Kokopu Street,"Ahipara, Kaitaia, Northland"
19 Tarata Grove,"Lansdowne, Masterton, Wairarapa"
20 Jonathan Place,"Richmond, Nelson, Nelson/Marlborough"
15 Graham Street,"Petone, Lower Hutt, Wellington"
7 Albert Wills Avenue,"Halswell, Christchurch, Canterbury"
Fraters Road,"Martinborough, Wairarapa"
8 Country Lane,"Waipawa, Hawkes Bay/Gisborne"
17 Toni's Terrace,"Lower Shotover, Queenstown, Otago"
18B George Street,"Waiuku, Auckland South"
1 Wilton Lane,"Flat Point, Carterton, Wairarapa"
4 Donald Gavin Way,"Paerata, Pukekohe, Auckland South"
5 Waterview Downs,"Waterview, Auckland, Auckland City"
Corner of Forrest Hill Road & East Coast Road,"Forrest Hill, Auckland, Auckland North Shore"
1 Tupara Street,"Manurewa, Auckland, Auckland South"
4 Karearea Drive,"Coastlands, Whakatane, Bay of Plenty"
10 Cranston Street,"Torbay, Auckland, Auckland North Shore"
121 Haymakers Crescent,"Rolleston, Canterbury"
243D Mill Flat Road,"Riverhead, Auckland North Shore"
22 Middle Road,"Ashburton, Canterbury"
13 Kauri Road,"Birkenhead, Auckland, Auckland North Shore"
2 Lemonwood Place,"The Gardens, Auckland, Auckland South"
17 Tims Crescent,"Flat Bush, Auckland, Auckland South"
2 Tareha Place,"Kerikeri, Northland"
Ward Street,"Jacks Point, Queenstown, Otago"
471 Pukehangi Road,"Springfield, Rotorua, Canterbury"
10 Kotiti Drive,"Wainui, Auckland North Shore"
6 Stirling Crescent,"Mosgiel, Dunedin, Otago"
Taraheke Drive,"Taupiri, Waikato"
221 Teviot Street,"Georgetown, Invercargill, Southland"
9 Wolsley Avenue,"Milford, Auckland, Auckland North Shore"
3 Kelly Road,"Cambridge, Waikato"
Gordon Street,"Te Puke, Bay of Plenty"
72 Anselmi Ridge Road,"Pukekohe, Auckland, Auckland South"
74 Riverstone Drive,"Rolleston, Canterbury"
19 Homestead Drive,"Rangiora, Canterbury"
115 Mawai Hakona Drive,"Upper Hutt, Wellington"
40 Barn Road,"Jacks Point, Queenstown, Otago"
4 Erebus Place,"Lake Tekapo, Canterbury"
22 Read Crescent,"Clive, Hawkes Bay/Gisborne"
9 Polwarth Lane,"West Melton, Canterbury"
140E Raumanga Heights Drive,"Raumanga, Whangarei, Northland"
Meadowville Avenue,"Spreydon, Christchurch, Canterbury"
144 Munro Road,"Whakamarama, Bay of Plenty"
27 Monarch Park Lane,"Leamington, Cambridge, Waikato"
45 Reed Street,"Whangarei, Northland"
12 Mulholland Drive,"Jacks Point, Queenstown, Otago"
11 Springs Road & 318 East Tamaki Road,"East Tamaki, Auckland, Auckland South"
28 Boocock Crescent,"Orewa, Auckland North Shore"
7 Barracks Avenue,"Solway, Masterton, Wairarapa"
15 Konoba Avenue,"Kumeu, Auckland West"
"Peakedale Drive, Tapsell Drive, Buxton Crescent, Bowman Road","Matamata, Waikato"
26 Grigg Drive,"Witherlea, Blenheim, Nelson/Marlborough"
Wall Street,"Nawton, Hamilton, Waikato"
2 Waitemata Drive,"One Tree Point, Whangarei, Northland"
112 Lisle Farm Drive,"Pukekohe, Auckland South"
157-159 Muller Road,"Blenheim, Nelson/Marlborough"
26 Twin Oaks Drive,"Tamahere, Hamilton, Waikato"
19 Siren Street,"Wainui, Auckland North Shore"
144-146 Titirangi Road,"New Lynn, Auckland, Auckland West"
126 St James Avenue,"Papanui, Christchurch, Canterbury"
51 Ruba Way,"Ohauiti, Tauranga, Bay of Plenty"
10 Francis Street,"Blenheim, Nelson/Marlborough"
7 Aranoni Track,"Clifton, Christchurch, Canterbury"
10B Albertine Place,"Greenhithe, Auckland, Auckland North Shore"
1 Pinecrest Drive,"Hobb Bay, Auckland, Auckland North Shore"
10 Maggie Street,"Kaiapoi, Canterbury"
2 Ranui Terrace,"Tawa, Wellington, Wellington"
26 Te Wharo Drive,"Papamoa, Bay of Plenty"
51 Bale Close,"Papamoa, Bay of Plenty"
50 Sanctuary Drive,"Stoke, Nelson, Nelson/Marlborough"
18 Middleton Road,"Frankton, Queenstown, Otago"
164 Hurstmere Road,"Takapuna, Auckland, Auckland North Shore"
30 Margaret Road,"Bellevue, Tauranga, Bay of Plenty"
295 Kitchener Road,"Pukekohe, Auckland, Auckland South"
26 Curtis Street,"Stoke, Nelson, Nelson/Marlborough"
9 Arohena Court,"Ohauiti, Tauranga, Bay of Plenty"
10 Patea Place,"Papakura, Auckland, Auckland South"
10 The Fairway,"Whakatane, Bay of Plenty"
10 Magnolia Place,"Levin, Manawatu/Whanganui"
1 Pigeon Rock Road,"Cornish Point, Cromwell, Otago"
31 Omaha Flats Road,"Tawharanui Peninsula, Matakana, Auckland North Shore"
54 Wainui Avenue,"Pt Chevalier, Auckland, Auckland City"
"10 Haroto Street, 20 Barrowcliffe Place & Kotuitui Place","Manukau, Auckland, Auckland South"
77 McLarin Road,"Glenbrook, Auckland, Auckland South"
74 Dunkeld Drive,"Papamoa, Bay of Plenty"
Smith Street,"Kaiapoi, Canterbury"
11 Reid Crescent,"Arrowtown, Otago"
21 Stoke Street,"Oamaru, Otago"
239 Whitmore Road,"Tawharanui Peninsula, Matakana, Auckland North Shore"
1269 Omahu Road,"Hastings, Hawkes Bay/Gisborne"
1 St Just Place,"Wanaka, Otago"
5 Turksma Lane,"Kaitoke, Upper Hutt, Wellington"
9-12 Spitfire Place,"Newlands, Wellington, Wellington"
90 Moewai Road,"Whitianga, Coromandel Peninsula, Waikato"
104A Sunrise Avenue,"Mairangi Bay, Auckland, Auckland North Shore"
8 Crescent Hills Court,"Northpark, Auckland, Auckland South"
2/21 Rangitoto Terrace,"Milford, Auckland, Auckland North Shore"
22 Herd Street,"Te Aro, Wellington, Wellington"
880-882 Manukau Road  &  108-110 Trafalgar Street,"Royal Oak, Auckland, Auckland City"
2 Kildonan Place,"Bethlehem, Tauranga, Bay of Plenty"
28 Bentleigh Avenue,"New Windsor, Auckland, Auckland City"
20 Te Ngaio Road,"Bunnythorpe, Manawatu/Whanganui"
72 Te Hurunui Drive,"Pegasus, Canterbury"
41 MacPhail Avenue,"Rangiora, Canterbury"
15 James Street,"Coalgate, Canterbury"
10 Petunia Drive,"Hornby, Christchurch, Canterbury"
92 Greers Road,"Burnside, Christchurch, Canterbury"
35 Tiritiri Moana Drive,"Pegasus, Canterbury"
22 Tipu Road,"Flat Bush, Auckland, Auckland South"
3 Whiro Close,"Ngaruawahia, Waikato"
281 Heywards Road,"Clarkville, Kaiapoi, Canterbury"
19 Oxford Street,"Parkvale, Tauranga, Bay of Plenty"
27 Rangiora Avenue,"Palmerston North, Manawatu/Whanganui"
53 Drake Street,"Howick, Auckland, Auckland South"
246 George Street,"Waverley, Invercargill, Southland"
16 Rhoboro Road,"Twizel, Canterbury"
19 Valencia Lane,"Kerikeri, Northland"
14 Lussa Close,"Broomfield, Christchurch, Canterbury"
45 Pounamu Avenue,"Albert Town, Wanaka, Otago"
27 Iwa Street,"Mapua, Nelson/Marlborough"
22 Penrose Street,"Woburn, Lower Hutt, Wellington"
134 Cohrs Road,"Poukawa, Hawkes Bay/Gisborne"
95 Factory Road,"Mosgiel, Otago"
9 Leinster Street,"New Windsor, Auckland, Auckland City"
7 Hart Avenue,"Boulcott, Lower Hutt, Wellington"
52 Rapana Drive,"Tuakau, Waikato"
1 Campbell Lane,"Arrowtown, Otago"
56 Wanganui Road,"Marton, Manawatu/Whanganui"
20 Overton Road,"Papatoetoe, Auckland, Auckland South"
1/135 Bristol Street,"St Albans, Christchurch, Canterbury"
321 Main North Road,"Motunui, Waitara, Taranaki"
4A Carrick Robertson Place,"Waihi, Waikato"
39 Kaimai Drive,"Matamata, Waikato"
6 Rossbeg Lane,"Flat Bush, Auckland, Auckland South"
135 Douslins Gully Road,"Havelock, Nelson/Marlborough"
584 Blockhouse Bay Road,"Blockhouse Bay, Auckland, Auckland City"
760 Hira Road,"Hira, Nelson/Marlborough"
78N Greenslade Road,"Raglan, Waikato"
17 Rewarewa Road,"Te Atatu Peninsula, Auckland, Auckland West"
466 Main South Road,"Hornby, Christchurch, Canterbury"
"576 Don Buck Road, Fred Taylor Drive, Dunlop Road","Westgate, Auckland, Auckland West"
11 Hermes Road,"Flat Bush, Auckland, Auckland South"
22 Mark Road,"Mt Albert, Auckland, Auckland City"
20 Parkmore Drive,"Rosehill, Papakura, Auckland South"
6 Kendricks Road,"Riverlands, Blenheim, Nelson/Marlborough"
8 Minden Hill Lane,"Te Puna, Tauranga, Bay of Plenty"
26 Rangihiroa Street,"Waikanae, Wellington"
251 Hillsborough Road,"Hillsborough, Auckland, Auckland City"
281 West Hoe Heights,"Orewa, Auckland North Shore"
